School,Nickname,City,State,Conference
Centenary College of Louisiana,Gents and Ladies,Shreveport,LA,Southern Collegiate Athletic Conference
Centenary University,Cyclones,Hackettstown,NJ,Atlantic East Conference
Central College,Dutch,Pella,IA,American Rivers Conference
Centre College,Colonels,Danville,KY,Southern Collegiate Athletic Conference
Chapman University,Panthers,Orange,CA,Southern California Intercollegiate Athletic Conference
Chatham University,Cougars,Pittsburgh,PA,Presidents' Athletic Conference
University of Chicago,Maroons,Chicago,IL,University Athletic Association
Christopher Newport University,Captains,Newport News,VA,Coast to Coast Athletic Conference
"Claremont McKenna College, Harvey Mudd College, and Scripps College",Stags and Athenas,Claremont,CA,Southern California Intercollegiate Athletic Conference
Clark University,Cougars,Worcester,MA,New England Women's and Men's Athletic Conference
Clarkson University,Golden Knights,Potsdam,NY,Liberty League
United States Coast Guard Academy,Bears,New London,CT,New England Women's and Men's Athletic Conference
Coe College,Kohawks,Cedar Rapids,IA,American Rivers Conference
Colby College,Mules,Waterville,ME,New England Small College Athletic Conference
Colby–Sawyer College,Chargers,New London,NH,Massachusetts State Collegiate Athletic Conference
Colorado College,Tigers,Colorado Springs,CO,Southern Collegiate Athletic Conference
Concordia University Chicago,Cougars,River Forest,IL,Northern Athletics Collegiate Conference
Concordia College,Cobbers,Moorhead,MN,Minnesota Intercollegiate Athletic Conference
Concordia University Texas,Tornados,Austin,TX,Southern Collegiate Athletic Conference
Concordia University Wisconsin,Falcons,Mequon,WI,Northern Athletics Collegiate Conference
Connecticut College,Camels,New London,CT,New England Small College Athletic Conference
Cornell College,Rams,Mount Vernon,IA,Midwest Conference
Covenant College,Scots,Lookout Mountain,GA,Southern Collegiate Athletic Conference
Crown College,Polars,St. Bonifacius,MN,Upper Midwest Athletic Conference
Curry College,Colonels,Milton,MA,Conference of New England
University of Dallas,Crusaders,Irving,TX,Southern Collegiate Athletic Conference
Dean College,Bulldogs,Franklin,MA,Massachusetts State Collegiate Athletic Conference
Delaware Valley University,Aggies,Doylestown,PA,MAC Freedom
Denison University,Big Red,Granville,OH,Presidents' Athletic Conference
DePauw University,Tigers,Greencastle,IN,Presidents' Athletic Conference
DeSales University,Bulldogs,Center Valley,PA,MAC Freedom
Dickinson College,Red Devils,Carlisle,PA,Centennial Conference
Dominican University,Stars,River Forest,IL,Northern Athletics Collegiate Conference
Drew University,Rangers,Madison,NJ,Landmark Conference
University of Dubuque,Spartans,Dubuque,IA,American Rivers Conference
Earlham College,Quakers,Richmond,IN,Heartland Collegiate Athletic Conference
East Texas Baptist University,Tigers,Marshall,TX,Southern Collegiate Athletic Conference
Eastern University,Eagles,St. Davids,PA,MAC Commonwealth
Eastern Connecticut State University,Warriors,Willimantic,CT,Little East Conference
Eastern Mennonite University,Royals,Harrisonburg,VA,Old Dominion Athletic Conference
Edgewood College,Eagles,Madison,WI,Northern Athletics Collegiate Conference
Elizabethtown College,Blue Jays,Elizabethtown,PA,Landmark Conference
Elmhurst University,Bluejays,Elmhurst,IL,College Conference of Illinois and Wisconsin
Elmira College,Soaring Eagles,Elmira,NY,Empire 8
Elms College,Blazers,Chicopee,MA,Massachusetts State Collegiate Athletic Conference
Emerson College,Lions,Boston,MA,New England Women's and Men's Athletic Conference
Emmanuel College,Saints,Boston,MA,Massachusetts State Collegiate Athletic Conference
Emory University,Eagles,Atlanta,GA,University Athletic Association
