School,Nickname,City,State,Conference
Wesleyan University,Cardinals,Middletown,CT,New England Small College Athletic Conference
Western Connecticut State University,Wolves,Danbury,CT,Little East Conference
Western New England University,Golden Bears,Springfield,MA,Conference of New England
Westfield State University,Owls,Westfield,MA,Massachusetts State Collegiate Athletic Conference
Westminster College,Blue Jays,Fulton,MO,St. Louis Intercollegiate Athletic Conference
Westminster College,Titans,New Wilmington,PA,Presidents' Athletic Conference
Wheaton College,Thunder,Wheaton,IL,College Conference of Illinois and Wisconsin
Wheaton College,Lyons,Norton,MA,New England Women's and Men's Athletic Conference
Whitman College,Blues,Walla Walla,WA,Northwest Conference
Whittier College,Poets,Whittier,CA,Southern California Intercollegiate Athletic Conference
Whitworth University,Pirates,Spokane,WA,Northwest Conference
Widener University,Pride,Chester,PA,MAC Commonwealth
Wilkes University,Colonels,Wilkes-Barre,PA,Landmark Conference
Willamette University,Bearcats,Salem,OR,Northwest Conference
William Paterson University,Pioneers,Wayne,NJ,New Jersey Athletic Conference
William Peace University,Pacers,Raleigh,NC,USA South Athletic Conference
William Smith College,Herons,Geneva,NY,Liberty League
Williams College,Ephs,Williamstown,MA,New England Small College Athletic Conference
Wilmington College,Quakers,Wilmington,OH,Presidents' Athletic Conference
Wilson College,Phoenix,Chambersburg,PA,United East Conference
University of Wisconsin–Eau Claire,Blugolds,Eau Claire,WI,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–La Crosse,Eagles,La Crosse,WI,Wisconsin Intercollegiate Athletic Conference
Wisconsin Lutheran College,Warriors,Milwaukee,WI,Northern Athletics Collegiate Conference
University of Wisconsin–Oshkosh,Titans,Oshkosh,WI,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–Platteville,Pioneers,Platteville,WI,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–River Falls,Falcons,River Falls,WI,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–Stevens Point,Pointers,Stevens Point,WI,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–Stout,Blue Devils,Menomonie,WI,Wisconsin Intercollegiate Athletic Conference
University of Wisconsin–Superior,Yellow Jackets,Superior,WI,Upper Midwest Athletic Conference
University of Wisconsin–Whitewater,Warhawks,Whitewater,WI,Wisconsin Intercollegiate Athletic Conference
Wittenberg University,Tigers,Springfield,OH,Presidents' Athletic Conference
College of Wooster,Fighting Scots,Wooster,OH,Presidents' Athletic Conference
Worcester Polytechnic Institute,Engineers,Worcester,MA,New England Women's and Men's Athletic Conference
Worcester State University,Lancers,Worcester,MA,Massachusetts State Collegiate Athletic Conference
Yeshiva University,Maccabees,New York,NY,Skyline Conference
"York College, City University of New York",Cardinals,Queens,NY,City University of New York Athletic Conference
York College of Pennsylvania,Spartans,York,PA,MAC Commonwealth
Johnson & Wales University Charlotte,Wildcats,Charlotte,NC,United States Collegiate Athletic Association
Regent University,Royals,Virginia Beach,VA,Coast to Coast Athletic Conference
